adminCode,adminCode2,Dong,salary_23,salary_45,salary_6a,salary_male,salary_female,salary_avg,sales_음식및음료,sales_소매및판매,sales_문화및여가,sales_서비스,sales_의료,sales_교육,sales_01,sales_23,sales_45,sales_6ab,sales_sum,transport_0006,transport_0612,transport_1218,transport_1824,transport_sum,bus_sum,workers_건설업,"workers_공공 행정, 국방 및 사회보장 행정",workers_교육 서비스업,workers_금융 및 보험업,workers_도매 및 소매,workers_방송통신 및 정보서비스업,workers_보건 및 사회복지 서비스업,workers_부동산 및 임대업,workers_사업시설 관리 및 사업 지원 서비스업,workers_숙박 및 음식점업,"workers_예술, 스포츠 및 여가관련 서비스업",workers_운수업,"workers_전문, 과학 및 기술 서비스업",workers_제조업,"workers_협회 및 단체, 수리 및 기타 개인 서비스업",workers_total,popLiv_01,popLiv_23,popLiv_45,popLiv_6a,popLiv_total,popLiv_male,popLiv_female,popLiv_0006,popLiv_0612,popLiv_1218,popLiv_1824,popReg_total,popReg_01,popReg_23,popReg_45,popReg_6a,popReg_kor,popReg_fori,popReg_male,popReg_female,house_detached,house_apt,house_total,business_total,business_ceo_male,business_ceo_male,business_ceo_20,business_ceo_30,business_ceo_40,business_ceo_50,business_ceo_60,business_ceo_70above,business_개인사업체,business_회사법인,business_회사이외법인,business_비법인단체,business_국가지자체,car_total
11140670,1102067,황학동,6494,4672,3613,4336,3660,4022,1724429408,2019620536,83414840,264448064,860448302,60591402,750305882,54602416741,77558020361,33703422514,1.67E+11,3799,58039,103515,53095,218448,7,49,18,75,83,2591,30,115,154,1519,707,28,50,41,403,235,6098,1347,4481,3929,15287,12964,6033,6492,13493,12828,12760,12775,13693,1241,5628,3846,2980,12812,881,5960,6598,612,2823,3435,2038,1394,644,53,203,450,814,408,110,1876,136,10,14,2,3428
11140680,1102068,중림동,6552,4810.5,3686,4567,3685,4156,1608550966,1015640075,75988119,258393779,526913083,53582241,792826803,34901667739,41000327461,12428269895,89123091898,11834,82121,94237,81957,270149,10,54,37,556,739,1397,1134,203,299,339,615,106,471,927,423,452,7782,726,2557,3041,9692,8221,4108,3904,6912,8616,9768,7587,12296,1687,3428,4018,3170,11975,321,5979,6061,259,3455,3714,1058,728,330,12,122,291,355,201,77,746,225,46,36,5,3857
11170510,1103051,후암동,6495,4610.5,3589,4357,3640,4020,1287004579,1376379829,10084350,254427030,504736209,141614856,871506264,34057177235,43658295463,14968308817,93555287779,14108,326564,349053,207103,896828,19,254,96,229,31,588,518,293,71,1363,412,105,5,48,131,225,4369,1767,4143,4280,16399,13440,6377,6920,15390,13606,11832,12931,16740,1930,5271,5198,4351,16239,501,7981,8401,1470,618,2088,858,538,320,29,106,224,285,145,69,742,63,21,22,10,4040
11170520,1103052,용산2가동,6179,4284,3446,3996,3472,3751,1298730871,562837262,14148639,43487187,276258641,31988776,448550148,32637003832,16300033772,5616057267,55001645019,9065,128996,185943,160830,484834,27,7,1071,424,22,252,60,77,19,90,395,71,35,27,93,94,2737,1233,4222,3330,13392,11311,5592,5500,11035,11362,11105,11740,10316,854,3710,2902,2850,9008,1308,4402,4715,1105,374,1479,614,415,199,22,133,123,168,129,39,531,52,16,9,6,2144
11170530,1103053,남영동,6485,4572,3725,4261,3588,3972,4179927239,1980395864,578940485,531871144,1251654456,189699964,3054300541,1.01E+11,85634733287,20901621176,2.10E+11,18524,320224,419380,371251,1129379,21,3229,65,319,2536,1677,475,413,194,895,2259,284,853,1599,338,523,15681,1161,6445,5955,20194,17526,9259,7621,9463,19815,24793,16034,7552,416,2133,2588,2419,7072,480,4326,2785,661,440,1101,1706,1087,619,40,235,448,531,317,135,1115,456,78,52,5,2602
11170555,1103071,청파동,6298,4455.5,3570,4136,3445,3805,2968695323,1792554341,269222470,862638241,598286369,107743678,4529141255,84012945798,65238708381,16575452569,1.70E+11,16272,336507,504379,449246,1306404,24,187,26,2758,50,979,355,398,175,278,1116,109,210,575,1347,559,9122,2763,9339,6275,26564,22914,9755,12720,22446,23567,23380,22264,19856,1608,8003,5540,4709,19079,777,8895,10214,1837,74,1911,1890,1224,666,50,266,516,633,307,118,1600,181,55,46,8,4299
11170560,1103072,원효로1동,7093,5490,4307,5137,4081,4638,1972201114,1668958058,195170360,968448279,714500276,103593012,1335461141,62349177237,58245473286,14537197622,1.36E+11,3444,87114,91496,62060,244114,24,413,402,282,444,3653,320,252,304,758,818,79,246,691,480,224,9418,2586,7687,6557,23036,20463,9951,9986,20170,21276,20916,19491,17781,2249,7252,5150,3133,17149,632,7958,9112,563,3405,3968,1917,1373,544,39,363,595,569,253,98,1284,569,22,35,7,6326
11170570,1103057,원효로2동,6778,5276,4224,5037,4042,4586,456939083,676620522,45034051,298029986,166640716,186348910,429165570,19203787714,28246233231,6571307117,54450493632,2711,64481,58644,32418,158254,25,163,18,429,79,2584,645,103,721,1439,285,28,62,123,149,522,7404,2432,5072,5094,20078,16124,7679,8663,18418,16440,14478,15160,13779,1845,4169,4316,3453,13668,111,6453,7241,534,3216,3750,1127,841,286,15,168,355,344,198,47,744,341,19,20,3,5032
11170580,1103058,효창동,6553,4871.5,3888,4658,3821,4266,310078879,747304845,136286101,147036667,472697731,219427294,321003193,15811404213,22108469680,8117846425,46358723511,2492,67036,61496,30700,161724,14,483,17,224,19,462,86,338,50,80,131,21,42,41,53,238,2285,1426,3093,2841,11543,9488,4170,5285,9145,9660,9214,9933,10902,1513,3695,3407,2288,10764,138,5089,5613,271,1584,1855,479,335,144,4,44,131,167,95,38,327,92,32,25,3,3113
11170590,1103059,용문동,6692,5089,4031,4816,3937,4410,597296066,704028596,66929048,136386037,321791854,103686491,440937807,16355651564,33226822091,16630748451,66654159913,1684,29981,33943,19899,85507,16,54,14,80,16,647,64,142,62,7,237,22,17,5,116,112,1595,1135,2439,2612,10088,8192,3777,4363,10523,7835,6249,8162,11613,1318,3634,3543,3120,11498,115,5551,6011,443,2282,2725,656,385,271,13,75,171,222,131,44,582,56,6,11,1,3408
