salary_avg,house_total,business_total,sales_sum,transport_sum,bus_sum,workers_total,popLiv_total,popReg_total,business_total.1,car_total,adminCode,adminCode2,Dong,Cluster
3899,5816,1308,240000000000.0,864753,56,9753,38060,37417,2299,10139,11410615,1113076,연희동,5
3729,5580,644,144000000000.0,167778,21,3884,24772,25072,1088,6631,11410620,1113062,홍제1동,0
4225,3350,886,159000000000.0,2216942,44,3666,15508,17894,1249,3895,11410640,1113064,홍제3동,0
3811,4366,367,53494468280.0,277438,9,1483,10658,13388,568,3727,11410655,1113065,홍제2동,2
3753,6173,576,74474547522.0,606446,29,2121,14353,22659,954,7016,11410660,1113066,홍은1동,0
4478,3473,577,107000000000.0,1150119,68,5528,22393,29474,1132,7383,11410685,1113068,홍은2동,3
3756,5293,554,151000000000.0,377077,15,1330,7716,16968,676,5434,11410690,1113069,남가좌1동,2
4152,6754,857,120000000000.0,370319,27,3762,19718,30589,1445,8524,11410700,1113070,남가좌2동,3
3584,5056,246,41242336722.0,170556,15,2134,14264,17815,631,7554,11410710,1113071,북가좌1동,0
4552,3213,826,171000000000.0,324997,30,5351,35027,31228,2349,8622,11410720,1113072,북가좌2동,3
4088,8935,1537,262000000000.0,822803,21,12946,25527,28244,1894,8377,11440555,1114078,아현동,3
4378,8728,2126,147000000000.0,1383962,33,19396,40693,37393,2726,11811,11440565,1114077,공덕동,5
4606,6577,1720,253000000000.0,211826,34,15047,14976,21005,2044,7831,11440585,1114075,도화동,3
3643,6285,2300,176000000000.0,561209,19,16477,27153,21682,2653,9505,11440590,1114059,용강동,3
3700,2657,1305,199000000000.0,1208804,30,10476,24596,16154,1635,3903,11440600,1114060,대흥동,0
4255,2495,460,73050527005.0,108473,11,4643,16230,17695,710,5167,11440610,1114061,염리동,2
4379,5878,698,77656405426.0,67032,24,5848,16943,22585,1171,7459,11440630,1114063,신수동,0
3761,6219,1133,229000000000.0,746898,65,10129,27884,25535,1735,7654,11440655,1114076,서강동,3
3716,3781,8446,1810000000000.0,5813847,80,54465,76882,26653,9736,8460,11440660,1114066,서교동,4
3586,1736,1475,233000000000.0,1320611,31,10073,22250,16955,2120,6452,11440680,1114068,합정동,0
3763,2412,845,207000000000.0,182097,31,4468,19266,19684,1728,5722,11440690,1114069,망원1동,0
3669,3050,876,142000000000.0,139915,26,3894,15840,18378,1368,5337,11440700,1114070,망원2동,0
3651,2055,831,170000000000.0,212457,20,4998,17775,15481,1406,4130,11440710,1114071,연남동,2
4104,1415,1053,113000000000.0,228192,26,9612,21709,19003,1522,6327,11440720,1114072,성산1동,0
4396,10389,1074,207000000000.0,883111,39,8819,35647,39416,1814,11346,11440730,1114073,성산2동,5
5198,9313,1594,311000000000.0,1473704,90,31416,47234,30679,2242,11370,11440740,1114074,상암동,5
4053,7500,2596,476000000000.0,1742024,25,21000,42466,30432,2961,11622,11470510,1115051,목1동,5
3921,3475,649,129000000000.0,821704,15,3625,23518,29430,1158,8720,11470520,1115052,목2동,0
4236,2798,869,180000000000.0,599813,9,3841,18159,21587,1213,6413,11470530,1115053,목3동,0
5492,3470,847,167000000000.0,277642,9,3522,18075,24810,1328,7340,11470540,1115054,목4동,0
3431,12435,1230,296000000000.0,428397,32,10052,37049,40673,1576,14436,11470550,1115071,목5동,5
3734,2436,1134,124000000000.0,132408,9,4624,14304,20207,1747,8212,11470560,1115057,신월1동,0
3417,4155,554,89921084722.0,201486,10,3349,13503,20523,1238,6865,11470570,1115058,신월2동,2
3734,2314,514,59282840145.0,100237,10,3766,13048,14839,974,5732,11470580,1115059,신월3동,2
3736,3593,527,80897021670.0,173114,9,3748,11198,17666,1134,6444,11470590,1115060,신월4동,2
3695,1927,593,88294945758.0,125660,12,4103,8987,14381,998,4559,11470600,1115061,신월5동,2
3538,4467,426,47884285823.0,152101,13,2272,4067,13934,1575,6805,11470610,1115062,신월6동,2
4971,3357,701,85837408511.0,177498,18,5097,15128,19014,1375,6241,11470611,1115063,신월7동,0
4811,5727,889,116000000000.0,173630,25,4510,15895,19915,1116,8262,11470620,1115064,신정1동,0
4027,5556,748,144000000000.0,96026,11,3279,14045,18928,1088,6345,11470630,1115065,신정2동,0
3655,14184,1109,220000000000.0,792075,59,8318,41730,50568,2013,16082,11470640,1115066,신정3동,5
5270,3212,2100,371000000000.0,834787,14,12763,32182,32908,3081,9013,11470650,1115072,신정4동,3
4472,7581,532,118000000000.0,160591,24,5127,20125,24028,738,8837,11470670,1115069,신정6동,3
4465,10711,589,151000000000.0,347271,28,3902,21229,28502,984,9229,11470680,1115070,신정7동,3
3913,11968,1473,232000000000.0,403531,36,14897,30569,41511,2190,15455,11500510,1116051,염창동,5
4050,4816,1360,211000000000.0,410140,15,12457,22727,24996,1880,9130,11500520,1116052,등촌1동,0
3918,3208,369,60961443246.0,220281,9,2992,15800,19739,727,6853,11500530,1116053,등촌2동,2
4950,13297,1800,423000000000.0,975914,47,18824,40137,29813,2425,8933,11500535,1116054,등촌3동,5
3332,7226,1864,363000000000.0,143770,27,8660,48049,52730,3076,15950,11500540,1116073,화곡1동,5
3411,999,510,46069464660.0,130521,29,2177,12304,17698,821,4892,11500550,1116057,화곡2동,2
3948,3941,732,180000000000.0,156894,9,4124,19846,21489,1174,6429,11500560,1116058,화곡3동,0
3388,1525,904,148000000000.0,435181,30,3239,16977,20327,1401,5822,11500570,1116059,화곡4동,0
3373,1794,730,182000000000.0,1878123,25,3502,28119,33950,1335,9158,11500590,1116055,화곡본동,3
3846,3677,1318,216000000000.0,249857,29,11013,20668,25270,1818,7857,11500591,1116061,화곡6동,0
3418,1386,677,153000000000.0,256414,26,2571,33134,24308,1167,6086,11500593,1116063,화곡8동,0
4248,6817,1058,230000000000.0,1307609,59,11093,49555,34370,1458,25200,11500603,1116064,가양1동,5
3648,7484,406,99196385496.0,62244,12,2982,14515,13847,652,4028,11500604,1116065,가양2동,2
3679,7920,581,46136626297.0,60364,17,6428,10676,14560,888,6113,11500605,1116066,가양3동,0
3965,9385,1586,359000000000.0,753445,63,10586,35824,36212,2288,13878,11500611,1116067,발산1동,5
4346,9960,926,233000000000.0,964610,27,5749,32342,43725,1623,13888,11500615,1116074,우장산동,5
3501,4373,1310,174000000000.0,494093,62,33258,33611,30724,1885,11752,11500620,1116069,공항동,3
3919,10940,1303,275000000000.0,525196,42,6840,32634,42746,3549,15154,11500630,1116070,방화1동,5
3604,5140,1255,111000000000.0,1062366,35,10433,25853,23251,2003,10023,11500640,1116071,방화2동,3
3875,9038,357,55065576496.0,234122,20,3866,16826,22445,913,7419,11500641,1116072,방화3동,0
4386,10830,2133,323000000000.0,2104744,41,13547,33638,36081,2699,12683,11530510,1117051,신도림동,5
4058,6762,354,79427233041.0,108861,20,2582,16503,20816,722,17323,11530520,1117052,구로1동,3
3328,4634,6926,252000000000.0,796918,37,27695,34211,29633,7860,10725,11530530,1117071,구로2동,1
3571,5656,5739,552000000000.0,2582862,42,79253,40797,25017,6797,9527,11530540,1117054,구로3동,1
3474,6744,1535,235000000000.0,214952,20,4747,17872,22922,1996,6584,11530550,1117055,구로4동,0
3808,7829,2827,411000000000.0,726867,34,22554,33790,31829,4812,10322,11530560,1117056,구로5동,3
3181,1111,718,79220855157.0,201309,10,2477,11512,12662,946,2769,11530595,1117070,가리봉동,2
3817,6086,2076,187000000000.0,380233,31,7887,21414,26193,2553,7891,11530720,1117061,고척1동,3
3667,5711,811,123000000000.0,290015,38,3549,15703,26504,1423,8750,11530730,1117062,고척2동,3
3617,7356,1014,170000000000.0,957700,45,4621,31884,34139,1706,11023,11530740,1117072,개봉1동,3
3770,6958,621,159000000000.0,328899,22,2498,22277,30511,1131,9298,11530750,1117064,개봉2동,3
