"동별","연령별","항목","단위","2023. 1/4",
"교남동","100세 이상","한국인","","0",
"교남동","100세 이상","외국인","","0",
"가회동","계","계","","4084",
"가회동","계","한국인","","3962",
"가회동","계","외국인","","122",
"가회동","0~4세","계","","63",
"가회동","0~4세","한국인","","59",
"가회동","0~4세","외국인","","4",
"가회동","5~9세","계","","113",
"가회동","5~9세","한국인","","108",
"가회동","5~9세","외국인","","5",
"가회동","10~14세","계","","161",
"가회동","10~14세","한국인","","155",
"가회동","10~14세","외국인","","6",
"가회동","15~19세","계","","151",
"가회동","15~19세","한국인","","145",
"가회동","15~19세","외국인","","6",
"가회동","20~24세","계","","191",
"가회동","20~24세","한국인","","188",
"가회동","20~24세","외국인","","3",
"가회동","25~29세","계","","245",
"가회동","25~29세","한국인","","242",
"가회동","25~29세","외국인","","3",
"가회동","30~34세","계","","272",
"가회동","30~34세","한국인","","266",
"가회동","30~34세","외국인","","6",
"가회동","35~39세","계","","275",
"가회동","35~39세","한국인","","260",
"가회동","35~39세","외국인","","15",
"가회동","40~44세","계","","340",
"가회동","40~44세","한국인","","323",
"가회동","40~44세","외국인","","17",
"가회동","45~49세","계","","334",
"가회동","45~49세","한국인","","321",
"가회동","45~49세","외국인","","13",
"가회동","50~54세","계","","393",
"가회동","50~54세","한국인","","381",
"가회동","50~54세","외국인","","12",
"가회동","55~59세","계","","336",
"가회동","55~59세","한국인","","321",
"가회동","55~59세","외국인","","15",
"가회동","60~64세","계","","361",
"가회동","60~64세","한국인","","348",
"가회동","60~64세","외국인","","13",
"가회동","65~69세","계","","221",
"가회동","65~69세","한국인","","219",
"가회동","65~69세","외국인","","2",
"가회동","70~74세","계","","199",
"가회동","70~74세","한국인","","197",
"가회동","70~74세","외국인","","2",
"가회동","75~79세","계","","184",
"가회동","75~79세","한국인","","184",
"가회동","75~79세","외국인","","0",
"가회동","80~84세","계","","141",
"가회동","80~84세","한국인","","141",
"가회동","80~84세","외국인","","0",
"가회동","85~89세","계","","71",
"가회동","85~89세","한국인","","71",
"가회동","85~89세","외국인","","0",
"가회동","90~94세","계","","25",
"가회동","90~94세","한국인","","25",
"가회동","90~94세","외국인","","0",
"가회동","95~99세","계","","8",
"가회동","95~99세","한국인","","8",
"가회동","95~99세","외국인","","0",
"가회동","100세 이상","계","","0",
"가회동","100세 이상","한국인","","0",
"가회동","100세 이상","외국인","","0",
"종로1.2.3.4가동","계","계","","8711",
"종로1.2.3.4가동","계","한국인","","6740",
"종로1.2.3.4가동","계","외국인","","1971",
"종로1.2.3.4가동","0~4세","계","","150",
"종로1.2.3.4가동","0~4세","한국인","","80",
"종로1.2.3.4가동","0~4세","외국인","","70",
"종로1.2.3.4가동","5~9세","계","","194",
"종로1.2.3.4가동","5~9세","한국인","","82",
"종로1.2.3.4가동","5~9세","외국인","","112",
"종로1.2.3.4가동","10~14세","계","","226",
"종로1.2.3.4가동","10~14세","한국인","","108",
"종로1.2.3.4가동","10~14세","외국인","","118",
"종로1.2.3.4가동","15~19세","계","","186",
"종로1.2.3.4가동","15~19세","한국인","","92",
"종로1.2.3.4가동","15~19세","외국인","","94",
"종로1.2.3.4가동","20~24세","계","","583",
"종로1.2.3.4가동","20~24세","한국인","","344",
"종로1.2.3.4가동","20~24세","외국인","","239",
"종로1.2.3.4가동","25~29세","계","","782",
"종로1.2.3.4가동","25~29세","한국인","","628",
"종로1.2.3.4가동","25~29세","외국인","","154",
"종로1.2.3.4가동","30~34세","계","","715",
"종로1.2.3.4가동","30~34세","한국인","","561",
"종로1.2.3.4가동","30~34세","외국인","","154",
"종로1.2.3.4가동","35~39세","계","","598",
"종로1.2.3.4가동","35~39세","한국인","","403",
"종로1.2.3.4가동","35~39세","외국인","","195",
"종로1.2.3.4가동","40~44세","계","","661",
"종로1.2.3.4가동","40~44세","한국인","","426",
"종로1.2.3.4가동","40~44세","외국인","","235",
"종로1.2.3.4가동","45~49세","계","","626",
"종로1.2.3.4가동","45~49세","한국인","","422",
"종로1.2.3.4가동","45~49세","외국인","","204",
"종로1.2.3.4가동","50~54세","계","","704",
"종로1.2.3.4가동","50~54세","한국인","","551",
"종로1.2.3.4가동","50~54세","외국인","","153",
"종로1.2.3.4가동","55~59세","계","","705",
"종로1.2.3.4가동","55~59세","한국인","","597",
"종로1.2.3.4가동","55~59세","외국인","","108",
"종로1.2.3.4가동","60~64세","계","","791",
"종로1.2.3.4가동","60~64세","한국인","","717",
"종로1.2.3.4가동","60~64세","외국인","","74",
"종로1.2.3.4가동","65~69세","계","","648",
"종로1.2.3.4가동","65~69세","한국인","","611",
"종로1.2.3.4가동","65~69세","외국인","","37",
"종로1.2.3.4가동","70~74세","계","","400",
"종로1.2.3.4가동","70~74세","한국인","","387",
"종로1.2.3.4가동","70~74세","외국인","","13",
"종로1.2.3.4가동","75~79세","계","","328",
"종로1.2.3.4가동","75~79세","한국인","","323",
"종로1.2.3.4가동","75~79세","외국인","","5",
"종로1.2.3.4가동","80~84세","계","","258",
"종로1.2.3.4가동","80~84세","한국인","","253",
"종로1.2.3.4가동","80~84세","외국인","","5",
"종로1.2.3.4가동","85~89세","계","","111",
"종로1.2.3.4가동","85~89세","한국인","","110",
"종로1.2.3.4가동","85~89세","외국인","","1",
"종로1.2.3.4가동","90~94세","계","","33",
"종로1.2.3.4가동","90~94세","한국인","","33",
"종로1.2.3.4가동","90~94세","외국인","","0",
"종로1.2.3.4가동","95~99세","계","","10",
"종로1.2.3.4가동","95~99세","한국인","","10",
"종로1.2.3.4가동","95~99세","외국인","","0",
"종로1.2.3.4가동","100세 이상","계","","2",
"종로1.2.3.4가동","100세 이상","한국인","","2",
"종로1.2.3.4가동","100세 이상","외국인","","0",
"종로5.6가동","계","계","","5896",
"종로5.6가동","계","한국인","","5401",
"종로5.6가동","계","외국인","","495",
"종로5.6가동","0~4세","계","","64",
"종로5.6가동","0~4세","한국인","","59",
"종로5.6가동","0~4세","외국인","","5",
"종로5.6가동","5~9세","계","","97",
"종로5.6가동","5~9세","한국인","","94",
"종로5.6가동","5~9세","외국인","","3",
"종로5.6가동","10~14세","계","","93",
"종로5.6가동","10~14세","한국인","","90",
"종로5.6가동","10~14세","외국인","","3",
"종로5.6가동","15~19세","계","","148",
"종로5.6가동","15~19세","한국인","","122",
"종로5.6가동","15~19세","외국인","","26",
"종로5.6가동","20~24세","계","","579",
"종로5.6가동","20~24세","한국인","","441",
"종로5.6가동","20~24세","외국인","","138",
"종로5.6가동","25~29세","계","","904",
"종로5.6가동","25~29세","한국인","","785",
"종로5.6가동","25~29세","외국인","","119",
"종로5.6가동","30~34세","계","","593",
"종로5.6가동","30~34세","한국인","","519",
"종로5.6가동","30~34세","외국인","","74",
"종로5.6가동","35~39세","계","","360",
"종로5.6가동","35~39세","한국인","","328",
"종로5.6가동","35~39세","외국인","","32",
"종로5.6가동","40~44세","계","","303",
"종로5.6가동","40~44세","한국인","","276",
"종로5.6가동","40~44세","외국인","","27",
"종로5.6가동","45~49세","계","","293",
"종로5.6가동","45~49세","한국인","","280",
"종로5.6가동","45~49세","외국인","","13",
"종로5.6가동","50~54세","계","","445",
"종로5.6가동","50~54세","한국인","","428",
"종로5.6가동","50~54세","외국인","","17",
"종로5.6가동","55~59세","계","","477",
"종로5.6가동","55~59세","한국인","","459",
"종로5.6가동","55~59세","외국인","","18",
"종로5.6가동","60~64세","계","","463",
"종로5.6가동","60~64세","한국인","","453",
"종로5.6가동","60~64세","외국인","","10",
"종로5.6가동","65~69세","계","","329",
"종로5.6가동","65~69세","한국인","","321",
"종로5.6가동","65~69세","외국인","","8",
"종로5.6가동","70~74세","계","","244",
"종로5.6가동","70~74세","한국인","","243",
"종로5.6가동","70~74세","외국인","","1",
"종로5.6가동","75~79세","계","","238",
"종로5.6가동","75~79세","한국인","","238",
"종로5.6가동","75~79세","외국인","","0",
"종로5.6가동","80~84세","계","","167",
"종로5.6가동","80~84세","한국인","","167",
"종로5.6가동","80~84세","외국인","","0",
"종로5.6가동","85~89세","계","","67",
"종로5.6가동","85~89세","한국인","","67",
"종로5.6가동","85~89세","외국인","","0",
"종로5.6가동","90~94세","계","","23",
"종로5.6가동","90~94세","한국인","","22",
"종로5.6가동","90~94세","외국인","","1",
"종로5.6가동","95~99세","계","","9",
"종로5.6가동","95~99세","한국인","","9",
"종로5.6가동","95~99세","외국인","","0",
"종로5.6가동","100세 이상","계","","0",
"종로5.6가동","100세 이상","한국인","","0",
"종로5.6가동","100세 이상","외국인","","0",
"이화동","계","계","","7651",
"이화동","계","한국인","","7067",
"이화동","계","외국인","","584",
"이화동","0~4세","계","","84",
"이화동","0~4세","한국인","","82",
"이화동","0~4세","외국인","","2",
"이화동","5~9세","계","","114",
"이화동","5~9세","한국인","","111",
"이화동","5~9세","외국인","","3",
"이화동","10~14세","계","","149",
"이화동","10~14세","한국인","","148",
"이화동","10~14세","외국인","","1",
"이화동","15~19세","계","","205",
"이화동","15~19세","한국인","","194",
"이화동","15~19세","외국인","","11",
"이화동","20~24세","계","","786",
"이화동","20~24세","한국인","","549",
"이화동","20~24세","외국인","","237",
"이화동","25~29세","계","","1154",
"이화동","25~29세","한국인","","998",
"이화동","25~29세","외국인","","156",
"이화동","30~34세","계","","848",
"이화동","30~34세","한국인","","777",
"이화동","30~34세","외국인","","71",
"이화동","35~39세","계","","493",
"이화동","35~39세","한국인","","457",
"이화동","35~39세","외국인","","36",
"이화동","40~44세","계","","470",
"이화동","40~44세","한국인","","456",
"이화동","40~44세","외국인","","14",
"이화동","45~49세","계","","406",
"이화동","45~49세","한국인","","396",
"이화동","45~49세","외국인","","10",
"이화동","50~54세","계","","527",
"이화동","50~54세","한국인","","516",
"이화동","50~54세","외국인","","11",
"이화동","55~59세","계","","528",
"이화동","55~59세","한국인","","511",
"이화동","55~59세","외국인","","17",
"이화동","60~64세","계","","526",
"이화동","60~64세","한국인","","520",
"이화동","60~64세","외국인","","6",
"이화동","65~69세","계","","410",
"이화동","65~69세","한국인","","404",
"이화동","65~69세","외국인","","6",
"이화동","70~74세","계","","317",
"이화동","70~74세","한국인","","314",
"이화동","70~74세","외국인","","3",
"이화동","75~79세","계","","256",
"이화동","75~79세","한국인","","256",
"이화동","75~79세","외국인","","0",
"이화동","80~84세","계","","215",
"이화동","80~84세","한국인","","215",
"이화동","80~84세","외국인","","0",
"이화동","85~89세","계","","116",
"이화동","85~89세","한국인","","116",
"이화동","85~89세","외국인","","0",
"이화동","90~94세","계","","35",
"이화동","90~94세","한국인","","35",
"이화동","90~94세","외국인","","0",
"이화동","95~99세","계","","12",
"이화동","95~99세","한국인","","12",
"이화동","95~99세","외국인","","0",
"이화동","100세 이상","계","","0",
"이화동","100세 이상","한국인","","0",
"이화동","100세 이상","외국인","","0",
"창신1동","계","계","","5400",
"창신1동","계","한국인","","4613",
"창신1동","계","외국인","","787",
"창신1동","0~4세","계","","53",
"창신1동","0~4세","한국인","","48",
"창신1동","0~4세","외국인","","5",
"창신1동","5~9세","계","","65",
"창신1동","5~9세","한국인","","60",
"창신1동","5~9세","외국인","","5",
"창신1동","10~14세","계","","87",
"창신1동","10~14세","한국인","","83",
"창신1동","10~14세","외국인","","4",
"창신1동","15~19세","계","","109",
"창신1동","15~19세","한국인","","105",
"창신1동","15~19세","외국인","","4",
"창신1동","20~24세","계","","399",
"창신1동","20~24세","한국인","","233",
"창신1동","20~24세","외국인","","166",
"창신1동","25~29세","계","","564",
"창신1동","25~29세","한국인","","340",
"창신1동","25~29세","외국인","","224",
"창신1동","30~34세","계","","421",
"창신1동","30~34세","한국인","","343",
"창신1동","30~34세","외국인","","78",
"창신1동","35~39세","계","","314",
"창신1동","35~39세","한국인","","252",
"창신1동","35~39세","외국인","","62",
"창신1동","40~44세","계","","285",
"창신1동","40~44세","한국인","","237",
"창신1동","40~44세","외국인","","48",
"창신1동","45~49세","계","","305",
"창신1동","45~49세","한국인","","274",
"창신1동","45~49세","외국인","","31",
"창신1동","50~54세","계","","448",
"창신1동","50~54세","한국인","","398",
"창신1동","50~54세","외국인","","50",
"창신1동","55~59세","계","","547",
"창신1동","55~59세","한국인","","492",
"창신1동","55~59세","외국인","","55",
"창신1동","60~64세","계","","606",
"창신1동","60~64세","한국인","","565",
"창신1동","60~64세","외국인","","41",
"창신1동","65~69세","계","","439",
"창신1동","65~69세","한국인","","431",
"창신1동","65~69세","외국인","","8",
"창신1동","70~74세","계","","269",
"창신1동","70~74세","한국인","","264",
"창신1동","70~74세","외국인","","5",
"창신1동","75~79세","계","","208",
"창신1동","75~79세","한국인","","208",
"창신1동","75~79세","외국인","","0",
"창신1동","80~84세","계","","181",
"창신1동","80~84세","한국인","","181",
"창신1동","80~84세","외국인","","0",
"창신1동","85~89세","계","","76",
"창신1동","85~89세","한국인","","76",
"창신1동","85~89세","외국인","","0",
"창신1동","90~94세","계","","21",
"창신1동","90~94세","한국인","","20",
"창신1동","90~94세","외국인","","1",
"창신1동","95~99세","계","","3",
"창신1동","95~99세","한국인","","3",
"창신1동","95~99세","외국인","","0",
"창신1동","100세 이상","계","","0",
"창신1동","100세 이상","한국인","","0",
"창신1동","100세 이상","외국인","","0",
"창신2동","계","계","","8760",
"창신2동","계","한국인","","7650",
"창신2동","계","외국인","","1110",
"창신2동","0~4세","계","","98",
"창신2동","0~4세","한국인","","79",
"창신2동","0~4세","외국인","","19",
"창신2동","5~9세","계","","105",
"창신2동","5~9세","한국인","","94",
"창신2동","5~9세","외국인","","11",
"창신2동","10~14세","계","","159",
"창신2동","10~14세","한국인","","153",
"창신2동","10~14세","외국인","","6",
"창신2동","15~19세","계","","214",
"창신2동","15~19세","한국인","","206",
"창신2동","15~19세","외국인","","8",
"창신2동","20~24세","계","","714",
