행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
1111058,322968.0,2531.0,290.0,81.0,318.0,1435.0,3550.0,7137.0,16251.0,19123.0,16340.0,16857.0,17230.0,18454.0,18372.0,18900.0,22697.0,26087.0,23725.0,24007.0,19249.0,15620.0,14626.0,13105.0,6983.0
1111059,688522.0,1664.0,296.0,350.0,282.0,1931.0,10906.0,26736.0,73177.0,81786.0,50098.0,39593.0,38297.0,40830.0,37564.0,36680.0,40551.0,43705.0,43262.0,37263.0,24278.0,19950.0,18086.0,14665.0,6572.0
1111060,241391.0,533.0,11.0,0.0,0.0,239.0,4147.0,9905.0,21996.0,19958.0,14221.0,11609.0,12743.0,13441.0,13994.0,13138.0,13429.0,15484.0,15690.0,15220.0,10279.0,8836.0,10841.0,12836.0,2841.0
1111061,183809.0,413.0,18.0,0.0,0.0,238.0,2330.0,6940.0,16146.0,15145.0,9998.0,8653.0,9429.0,9818.0,9943.0,9797.0,11164.0,12833.0,12015.0,11680.0,8252.0,7866.0,8917.0,9969.0,2245.0
1111064,201369.0,1574.0,10.0,0.0,0.0,403.0,1772.0,3451.0,8342.0,11586.0,9449.0,7302.0,8030.0,9337.0,10576.0,9828.0,11837.0,13692.0,14693.0,18856.0,16776.0,12272.0,12170.0,11693.0,7720.0
1111065,601724.0,1949.0,199.0,24.0,0.0,1737.0,11959.0,25820.0,59828.0,64077.0,42713.0,33039.0,30534.0,33150.0,34281.0,34259.0,35545.0,36955.0,35251.0,35435.0,26160.0,19469.0,17734.0,13831.0,7775.0
1111066,1527740.0,7485.0,567.0,681.0,489.0,1771.0,21277.0,40737.0,93145.0,105308.0,71980.0,66631.0,72113.0,83649.0,85929.0,90404.0,99971.0,110438.0,112233.0,112813.0,84975.0,82265.0,75641.0,69494.0,37744.0
1111069,689817.0,1086.0,44.0,0.0,0.0,904.0,15082.0,38654.0,89948.0,81302.0,52703.0,40984.0,38752.0,39885.0,38116.0,34729.0,34760.0,37799.0,37966.0,32407.0,21395.0,16706.0,15632.0,15011.0,5952.0
1111072,450776.0,287.0,0.0,0.0,0.0,784.0,10912.0,26493.0,66650.0,68570.0,37684.0,28107.0,26108.0,26854.0,25200.0,21911.0,22432.0,22184.0,20027.0,16744.0,10346.0,7433.0,5424.0,4661.0,1965.0
1111073,112647.0,297.0,89.0,1.0,0.0,240.0,1309.0,4248.0,9917.0,10691.0,7824.0,6723.0,6231.0,6705.0,6490.0,6735.0,7870.0,7523.0,7227.0,6827.0,5066.0,3504.0,2997.0,2768.0,1365.0
1111074,195934.0,1862.0,521.0,52.0,129.0,1843.0,2705.0,4837.0,11743.0,14393.0,10706.0,9047.0,9328.0,9904.0,10583.0,10649.0,13018.0,15178.0,13247.0,13747.0,11301.0,9138.0,8350.0,8222.0,5431.0
1111076,326140.0,371.0,6.0,0.0,0.0,1350.0,8779.0,14922.0,40977.0,38905.0,26822.0,20640.0,19661.0,19543.0,19450.0,18569.0,16617.0,18277.0,18378.0,15072.0,9284.0,6442.0,6008.0,4251.0,1816.0
