"""동별""","""연령별""","""항목""","""2023. 1/4""",ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
평창동,45~49세,외국인,19,1101056,평창동,11110560
평창동,50~54세,계,1662,1101056,평창동,11110560
평창동,50~54세,한국인,1637,1101056,평창동,11110560
평창동,50~54세,외국인,25,1101056,평창동,11110560
평창동,55~59세,계,1540,1101056,평창동,11110560
평창동,55~59세,한국인,1528,1101056,평창동,11110560
평창동,55~59세,외국인,12,1101056,평창동,11110560
평창동,60~64세,계,1560,1101056,평창동,11110560
평창동,60~64세,한국인,1541,1101056,평창동,11110560
평창동,60~64세,외국인,19,1101056,평창동,11110560
평창동,65~69세,계,1216,1101056,평창동,11110560
평창동,65~69세,한국인,1204,1101056,평창동,11110560
평창동,65~69세,외국인,12,1101056,평창동,11110560
평창동,70~74세,계,742,1101056,평창동,11110560
평창동,70~74세,한국인,736,1101056,평창동,11110560
평창동,70~74세,외국인,6,1101056,평창동,11110560
평창동,75~79세,계,634,1101056,평창동,11110560
평창동,75~79세,한국인,632,1101056,평창동,11110560
평창동,75~79세,외국인,2,1101056,평창동,11110560
평창동,80~84세,계,489,1101056,평창동,11110560
평창동,80~84세,한국인,487,1101056,평창동,11110560
평창동,80~84세,외국인,2,1101056,평창동,11110560
평창동,85~89세,계,322,1101056,평창동,11110560
평창동,85~89세,한국인,320,1101056,평창동,11110560
평창동,85~89세,외국인,2,1101056,평창동,11110560
평창동,90~94세,계,103,1101056,평창동,11110560
평창동,90~94세,한국인,103,1101056,평창동,11110560
평창동,90~94세,외국인,0,1101056,평창동,11110560
평창동,95~99세,계,32,1101056,평창동,11110560
평창동,95~99세,한국인,32,1101056,평창동,11110560
평창동,95~99세,외국인,0,1101056,평창동,11110560
평창동,100세 이상,계,10,1101056,평창동,11110560
평창동,100세 이상,한국인,10,1101056,평창동,11110560
평창동,100세 이상,외국인,0,1101056,평창동,11110560
무악동,계,계,8045,1101057,무악동,11110570
무악동,계,한국인,8014,1101057,무악동,11110570
