`행정동코드`,`구분`,`평균소득(만원)`,`소득금액구간`,`금액구간별인원수비중(%)`,`정보미제공구간해당여부(Y제공불가)`,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
11110570,30대,3942,3천만원미만,21,N,1101057,무악동,11110570
11110570,30대,3942,4천만원미만,36,N,1101057,무악동,11110570
11110570,30대,3942,5천만원미만,16,N,1101057,무악동,11110570
11110570,30대,3942,5천만원이상,23,N,1101057,무악동,11110570
11110570,40대,5349,2천만원미만,3,N,1101057,무악동,11110570
11110570,40대,5349,3천만원미만,6,N,1101057,무악동,11110570
11110570,40대,5349,4천만원미만,17,N,1101057,무악동,11110570
11110570,40대,5349,5천만원미만,24,N,1101057,무악동,11110570
11110570,40대,5349,5천만원이상,51,N,1101057,무악동,11110570
11110570,50대,5588,2천만원미만,3,N,1101057,무악동,11110570
11110570,50대,5588,3천만원미만,5,N,1101057,무악동,11110570
11110570,50대,5588,4천만원미만,16,N,1101057,무악동,11110570
11110570,50대,5588,5천만원미만,19,N,1101057,무악동,11110570
11110570,50대,5588,5천만원이상,57,N,1101057,무악동,11110570
11110570,60세이상,4064,2천만원미만,9,N,1101057,무악동,11110570
11110570,60세이상,4064,3천만원미만,24,N,1101057,무악동,11110570
11110570,60세이상,4064,4천만원미만,24,N,1101057,무악동,11110570
11110570,60세이상,4064,5천만원미만,19,N,1101057,무악동,11110570
11110570,60세이상,4064,5천만원이상,24,N,1101057,무악동,11110570
11110580,전체,3688,2천만원미만,9,N,1101058,교남동,11110580
11110580,전체,3688,3천만원미만,23,N,1101058,교남동,11110580
11110580,전체,3688,4천만원미만,31,N,1101058,교남동,11110580
11110580,전체,3688,5천만원미만,21,N,1101058,교남동,11110580
11110580,전체,3688,5천만원이상,16,N,1101058,교남동,11110580
11110580,남성,4035,2천만원미만,5,N,1101058,교남동,11110580
11110580,남성,4035,3천만원미만,21,N,1101058,교남동,11110580
11110580,남성,4035,4천만원미만,26,N,1101058,교남동,11110580
11110580,남성,4035,5천만원미만,25,N,1101058,교남동,11110580
11110580,남성,4035,5천만원이상,23,N,1101058,교남동,11110580
11110580,여성,3340,2천만원미만,13,N,1101058,교남동,11110580
11110580,여성,3340,3천만원미만,24,N,1101058,교남동,11110580
11110580,여성,3340,4천만원미만,37,N,1101058,교남동,11110580
11110580,여성,3340,5천만원미만,18,N,1101058,교남동,11110580
11110580,여성,3340,5천만원이상,8,N,1101058,교남동,11110580
11110580,20대,2511,2천만원미만,28,N,1101058,교남동,11110580
11110580,20대,2511,3천만원미만,44,N,1101058,교남동,11110580
11110580,20대,2511,4천만원미만,20,N,1101058,교남동,11110580
11110580,20대,2511,5천만원미만,8,N,1101058,교남동,11110580
11110580,20대,2511,5천만원이상,,N,1101058,교남동,11110580
11110580,30대,3465,2천만원미만,8,N,1101058,교남동,11110580
11110580,30대,3465,3천만원미만,25,N,1101058,교남동,11110580
11110580,30대,3465,4천만원미만,40,N,1101058,교남동,11110580
11110580,30대,3465,5천만원미만,18,N,1101058,교남동,11110580
11110580,30대,3465,5천만원이상,10,N,1101058,교남동,11110580
11110580,40대,4103,2천만원미만,6,N,1101058,교남동,11110580
11110580,40대,4103,3천만원미만,14,N,1101058,교남동,11110580
11110580,40대,4103,4천만원미만,29,N,1101058,교남동,11110580
11110580,40대,4103,5천만원미만,29,N,1101058,교남동,11110580
11110580,40대,4103,5천만원이상,23,N,1101058,교남동,11110580
11110580,50대,4257,2천만원미만,6,N,1101058,교남동,11110580
11110580,50대,4257,3천만원미만,12,N,1101058,교남동,11110580
11110580,50대,4257,4천만원미만,32,N,1101058,교남동,11110580
11110580,50대,4257,5천만원미만,25,N,1101058,교남동,11110580
11110580,50대,4257,5천만원이상,25,N,1101058,교남동,11110580
11110580,60세이상,3328,2천만원미만,9,N,1101058,교남동,11110580
11110580,60세이상,3328,3천만원미만,35,N,1101058,교남동,11110580
11110580,60세이상,3328,4천만원미만,27,N,1101058,교남동,11110580
11110580,60세이상,3328,5천만원미만,17,N,1101058,교남동,11110580
11110580,60세이상,3328,5천만원이상,12,N,1101058,교남동,11110580
11110600,전체,4210,2천만원미만,8,N,1101060,가회동,11110600
11110600,전체,4210,3천만원미만,18,N,1101060,가회동,11110600
11110600,전체,4210,4천만원미만,24,N,1101060,가회동,11110600
11110600,전체,4210,5천만원미만,24,N,1101060,가회동,11110600
11110600,전체,4210,5천만원이상,26,N,1101060,가회동,11110600
11110600,남성,4607,2천만원미만,6,N,1101060,가회동,11110600
11110600,남성,4607,3천만원미만,18,N,1101060,가회동,11110600
11110600,남성,4607,4천만원미만,17,N,1101060,가회동,11110600
11110600,남성,4607,5천만원미만,24,N,1101060,가회동,11110600
11110600,남성,4607,5천만원이상,35,N,1101060,가회동,11110600
11110600,여성,3760,2천만원미만,10,N,1101060,가회동,11110600
11110600,여성,3760,3천만원미만,19,N,1101060,가회동,11110600
11110600,여성,3760,4천만원미만,32,N,1101060,가회동,11110600
11110600,여성,3760,5천만원미만,23,N,1101060,가회동,11110600
11110600,여성,3760,5천만원이상,16,N,1101060,가회동,11110600
11110600,20대,2765,2천만원미만,23,N,1101060,가회동,11110600
11110600,20대,2765,3천만원미만,43,N,1101060,가회동,11110600
11110600,20대,2765,4천만원미만,24,N,1101060,가회동,11110600
11110600,20대,2765,5천만원미만,7,N,1101060,가회동,11110600
11110600,20대,2765,5천만원이상,3,N,1101060,가회동,11110600
11110600,30대,3746,2천만원미만,7,N,1101060,가회동,11110600
11110600,30대,3746,3천만원미만,23,N,1101060,가회동,11110600
11110600,30대,3746,4천만원미만,32,N,1101060,가회동,11110600
11110600,30대,3746,5천만원미만,25,N,1101060,가회동,11110600
11110600,30대,3746,5천만원이상,13,N,1101060,가회동,11110600
11110600,40대,4670,2천만원미만,4,N,1101060,가회동,11110600
11110600,40대,4670,3천만원미만,7,N,1101060,가회동,11110600
11110600,40대,4670,4천만원미만,22,N,1101060,가회동,11110600
11110600,40대,4670,5천만원미만,30,N,1101060,가회동,11110600
11110600,40대,4670,5천만원이상,36,N,1101060,가회동,11110600
11110600,50대,4875,2천만원미만,7,N,1101060,가회동,11110600
11110600,50대,4875,3천만원미만,11,N,1101060,가회동,11110600
11110600,50대,4875,4천만원미만,18,N,1101060,가회동,11110600
11110600,50대,4875,5천만원미만,24,N,1101060,가회동,11110600
11110600,50대,4875,5천만원이상,40,N,1101060,가회동,11110600
11110600,60세이상,3901,2천만원미만,10,N,1101060,가회동,11110600
11110600,60세이상,3901,3천만원미만,29,N,1101060,가회동,11110600
11110600,60세이상,3901,4천만원미만,23,N,1101060,가회동,11110600
11110600,60세이상,3901,5천만원미만,17,N,1101060,가회동,11110600
11110600,60세이상,3901,5천만원이상,21,N,1101060,가회동,11110600
11110615,전체,4011,2천만원미만,8,N,1101061,종로1·2·3·4가동,11110615
11110615,전체,4011,3천만원미만,23,N,1101061,종로1·2·3·4가동,11110615
11110615,전체,4011,4천만원미만,25,N,1101061,종로1·2·3·4가동,11110615
11110615,전체,4011,5천만원미만,21,N,1101061,종로1·2·3·4가동,11110615
11110615,전체,4011,5천만원이상,23,N,1101061,종로1·2·3·4가동,11110615
11110615,남성,4367,2천만원미만,5,N,1101061,종로1·2·3·4가동,11110615
11110615,남성,4367,3천만원미만,21,N,1101061,종로1·2·3·4가동,11110615
11110615,남성,4367,4천만원미만,21,N,1101061,종로1·2·3·4가동,11110615
11110615,남성,4367,5천만원미만,23,N,1101061,종로1·2·3·4가동,11110615
11110615,남성,4367,5천만원이상,30,N,1101061,종로1·2·3·4가동,11110615
11110615,여성,3523,2천만원미만,13,N,1101061,종로1·2·3·4가동,11110615
11110615,여성,3523,3천만원미만,26,N,1101061,종로1·2·3·4가동,11110615
11110615,여성,3523,4천만원미만,30,N,1101061,종로1·2·3·4가동,11110615
11110615,여성,3523,5천만원미만,18,N,1101061,종로1·2·3·4가동,11110615
11110615,여성,3523,5천만원이상,14,N,1101061,종로1·2·3·4가동,11110615
11110615,20대,2587,2천만원미만,31,N,1101061,종로1·2·3·4가동,11110615
11110615,20대,2587,3천만원미만,40,N,1101061,종로1·2·3·4가동,11110615
11110615,20대,2587,4천만원미만,18,N,1101061,종로1·2·3·4가동,11110615
11110615,20대,2587,5천만원미만,7,N,1101061,종로1·2·3·4가동,11110615
11110615,20대,2587,5천만원이상,3,N,1101061,종로1·2·3·4가동,11110615
11110615,30대,3648,2천만원미만,7,N,1101061,종로1·2·3·4가동,11110615
11110615,30대,3648,3천만원미만,27,N,1101061,종로1·2·3·4가동,11110615
11110615,30대,3648,4천만원미만,31,N,1101061,종로1·2·3·4가동,11110615
11110615,30대,3648,5천만원미만,20,N,1101061,종로1·2·3·4가동,11110615
11110615,30대,3648,5천만원이상,15,N,1101061,종로1·2·3·4가동,11110615
11110615,40대,4719,2천만원미만,3,N,1101061,종로1·2·3·4가동,11110615
11110615,40대,4719,3천만원미만,12,N,1101061,종로1·2·3·4가동,11110615
11110615,40대,4719,4천만원미만,21,N,1101061,종로1·2·3·4가동,11110615
11110615,40대,4719,5천만원미만,27,N,1101061,종로1·2·3·4가동,11110615
11110615,40대,4719,5천만원이상,35,N,1101061,종로1·2·3·4가동,11110615
11110615,50대,4758,2천만원미만,4,N,1101061,종로1·2·3·4가동,11110615
11110615,50대,4758,3천만원미만,14,N,1101061,종로1·2·3·4가동,11110615
11110615,50대,4758,4천만원미만,27,N,1101061,종로1·2·3·4가동,11110615
11110615,50대,4758,5천만원미만,21,N,1101061,종로1·2·3·4가동,11110615
11110615,50대,4758,5천만원이상,35,N,1101061,종로1·2·3·4가동,11110615
11110615,60세이상,3635,2천만원미만,8,N,1101061,종로1·2·3·4가동,11110615
11110615,60세이상,3635,3천만원미만,33,N,1101061,종로1·2·3·4가동,11110615
11110615,60세이상,3635,4천만원미만,21,N,1101061,종로1·2·3·4가동,11110615
11110615,60세이상,3635,5천만원미만,20,N,1101061,종로1·2·3·4가동,11110615
11110615,60세이상,3635,5천만원이상,18,N,1101061,종로1·2·3·4가동,11110615
11110630,전체,3632,2천만원미만,9,N,1101063,종로5·6가동,11110630
11110630,전체,3632,3천만원미만,25,N,1101063,종로5·6가동,11110630
11110630,전체,3632,4천만원미만,30,N,1101063,종로5·6가동,11110630
11110630,전체,3632,5천만원미만,22,N,1101063,종로5·6가동,11110630
11110630,전체,3632,5천만원이상,14,N,1101063,종로5·6가동,11110630
11110630,남성,3912,2천만원미만,6,N,1101063,종로5·6가동,11110630
11110630,남성,3912,3천만원미만,23,N,1101063,종로5·6가동,11110630
11110630,남성,3912,4천만원미만,26,N,1101063,종로5·6가동,11110630
11110630,남성,3912,5천만원미만,26,N,1101063,종로5·6가동,11110630
11110630,남성,3912,5천만원이상,19,N,1101063,종로5·6가동,11110630
11110630,여성,3224,2천만원미만,14,N,1101063,종로5·6가동,11110630
11110630,여성,3224,3천만원미만,29,N,1101063,종로5·6가동,11110630
11110630,여성,3224,4천만원미만,35,N,1101063,종로5·6가동,11110630
11110630,여성,3224,5천만원미만,16,N,1101063,종로5·6가동,11110630
11110630,여성,3224,5천만원이상,7,N,1101063,종로5·6가동,11110630
11110630,20대,2503,2천만원미만,28,N,1101063,종로5·6가동,11110630
11110630,20대,2503,3천만원미만,48,N,1101063,종로5·6가동,11110630
11110630,20대,2503,4천만원미만,19,N,1101063,종로5·6가동,11110630
11110630,20대,2503,5천만원미만,5,N,1101063,종로5·6가동,11110630
11110630,20대,2503,5천만원이상,0,N,1101063,종로5·6가동,11110630
11110630,30대,3409,2천만원미만,9,N,1101063,종로5·6가동,11110630
11110630,30대,3409,3천만원미만,28,N,1101063,종로5·6가동,11110630
11110630,30대,3409,4천만원미만,35,N,1101063,종로5·6가동,11110630
11110630,30대,3409,5천만원미만,19,N,1101063,종로5·6가동,11110630
11110630,30대,3409,5천만원이상,8,N,1101063,종로5·6가동,11110630
11110630,40대,4066,2천만원미만,5,N,1101063,종로5·6가동,11110630
11110630,40대,4066,3천만원미만,15,N,1101063,종로5·6가동,11110630
11110630,40대,4066,4천만원미만,32,N,1101063,종로5·6가동,11110630
11110630,40대,4066,5천만원미만,30,N,1101063,종로5·6가동,11110630
11110630,40대,4066,5천만원이상,20,N,1101063,종로5·6가동,11110630
11110630,50대,4248,2천만원미만,5,N,1101063,종로5·6가동,11110630
