동별(3),단독주택,아파트,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
대치2동,127,9998,1123079,대치2동,11680610
개포2동,62,6681,1123080,개포2동,11680670
풍납1동,892,1596,1124051,풍납1동,11710510
풍납2동,499,5535,1124052,풍납2동,11710520
거여1동,410,1542,1124053,거여1동,11710531
거여2동,306,4442,1124054,거여2동,11710532
마천1동,986,2326,1124055,마천1동,11710540
마천2동,938,1321,1124056,마천2동,11710550
방이1동,127,2146,1124057,방이1동,11710561
방이2동,342,1212,1124058,방이2동,11710562
오륜동,499,5540,1124059,오륜동,11710566
오금동,367,7216,1124060,오금동,11710570
송파1동,405,1267,1124061,송파1동,11710580
송파2동,120,4575,1124062,송파2동,11710590
석촌동,510,1066,1124063,석촌동,11710600
삼전동,477,479,1124064,삼전동,11710610
가락본동,332,4975,1124065,가락본동,11710620
가락1동,45,9716,1124066,가락1동,11710631
가락2동,273,6417,1124067,가락2동,11710632
문정1동,223,3181,1124068,문정1동,11710641
문정2동,610,5606,1124069,문정2동,11710642
잠실본동,593,1145,1124071,잠실본동,11710650
잠실4동,35,6864,1124075,잠실4동,11710690
잠실6동,622,5372,1124077,잠실6동,11710710
잠실7동,1350,3198,1124078,잠실7동,11710720
잠실2동,50,11241,1124079,잠실2동,11710670
잠실3동,326,11046,1124080,잠실3동,11710680
장지동,269,8253,1124070,장지동,11710646
강일동,31,11638,1125051,강일동,11740515
명일1동,253,6765,1125053,명일1동,11740530
명일2동,152,4196,1125054,명일2동,11740540
고덕1동,324,6854,1125055,고덕1동,11740550
고덕2동,555,5589,1125056,고덕2동,11740560
암사2동,177,4139,1125058,암사2동,11740580
암사3동,209,4808,1125059,암사3동,11740590
천호1동,1009,2612,1125061,천호1동,11740600
천호3동,995,4651,1125063,천호3동,11740620
성내1동,187,3288,1125065,성내1동,11740640
성내2동,1244,1775,1125066,성내2동,11740650
성내3동,573,2730,1125067,성내3동,11740660
둔촌1동,5,6868,1125070,둔촌1동,11740690
둔촌2동,543,5011,1125071,둔촌2동,11740700
암사1동,1139,2790,1125072,암사1동,11740570
천호2동,1488,2641,1125073,천호2동,11740610
길동,830,8719,1125074,길동,11740685
