,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
388,세진중공업,"7,300",140,+1.96%,500,"1,002,293","56,849","4,150",2.78,31.88,7.09
389,유진투자증권,"4,250",55,+1.31%,"5,000","790,722","96,866","4,117",7.26,13.36,1.62
390,남해화학,"8,270",100,+1.22%,"1,000","106,478","49,679","4,108",4.67,31.93,9.65
391,현대그린푸드,"12,100",20,+0.17%,500,"117,674","33,881","4,100",12.93,N/A,N/A
392,TIGER 미국달러단기채권액티브,"11,130",105,-0.93%,0,"138,450","36,680","4,082",0.03,N/A,N/A
393,코리아써키트,"17,220",470,+2.81%,500,"331,890","23,621","4,067",1.99,13.61,15.53
394,쎌마테라퓨틱스,"6,410",0,0.00%,500,0,"62,557","4,010",0.12,-50.08,-46.91
395,유니퀘스트,"14,630",20,-0.14%,500,"456,535","27,356","4,002",53.68,11.08,15.17
396,풀무원,"10,480",90,+0.87%,500,"20,634","38,121","3,995",0.45,-23.71,-4.23
397,STX,"12,950",490,-3.65%,"2,500","2,764,298","30,829","3,992",9.66,-23.04,-23.17
398,TIGER KRX2차전지K-뉴딜,"19,205",280,+1.48%,0,"480,467","20,700","3,975",0.47,N/A,N/A
399,대원강업,"6,400",140,+2.24%,500,"13,489,797","62,000","3,968",2.12,14.10,3.99
400,맵스리얼티1,"4,220",85,+2.06%,0,"43,917","92,834","3,918",3.57,N/A,N/A
401,에어부산,"3,355",105,-3.03%,"1,000","449,257","116,640","3,913",0.63,-4.33,-116.96
402,삼성FN리츠,"5,060",0,0.00%,500,"83,291","77,300","3,911",0.30,N/A,N/A
403,신영증권우,"55,300",0,0.00%,"5,000",195,"7,054","3,901",6.12,9.43,N/A
404,유나이티드제약,"23,850",250,+1.06%,500,"38,579","16,245","3,874",6.64,8.02,14.18
405,LG생활건강우,"183,900",600,+0.33%,"5,000","7,296","2,100","3,861",60.43,14.92,N/A
406,HJ중공업,"4,625",25,+0.54%,"5,000","169,695","83,274","3,851",18.66,-5.91,-12.28
407,조일알미늄,"3,015",20,+0.67%,500,"2,425,181","126,632","3,818",1.58,-231.92,10.08
408,티와이홀딩스,"7,550",300,-3.82%,500,"185,672","50,429","3,807",4.78,6.15,6.31
409,롯데정보통신,"24,700",100,-0.40%,"5,000","20,273","15,396","3,803",1.76,10.57,7.11
410,제주은행,"11,830",270,-2.23%,"5,000","838,171","32,129","3,801",0.39,19.02,4.40
411,휴스틸,"6,750",320,-4.53%,"1,000","3,156,841","56,188","3,793",8.34,1.22,29.59
412,풍산홀딩스,"37,900",450,-1.17%,"5,000","14,433","9,999","3,789",11.99,5.50,7.94
413,SGC에너지,"25,700",900,+3.63%,"5,000","71,260","14,677","3,772",4.40,4.42,17.44
414,한국자산신탁,"3,040",20,-0.65%,500,"62,810","123,978","3,769",5.42,2.66,12.15
415,KODEX 단기변동금리부채권액티브,"107,295",75,+0.07%,0,788,"3,505","3,761",0.01,N/A,N/A
416,한화리츠,"5,290",10,-0.19%,500,"34,889","70,600","3,735",0.17,N/A,N/A
417,아세아시멘트,"9,480",290,+3.16%,500,"120,534","38,958","3,693",4.06,5.15,6.79
418,YG PLUS,"5,820",10,+0.17%,500,"774,100","63,429","3,692",2.84,25.75,8.39
419,남양유업,"511,000","29,000",-5.37%,"5,000","4,554",720,"3,679",8.00,-5.88,-10.12
420,HDC,"6,130",0,0.00%,"5,000","25,658","59,742","3,662",15.86,5.48,-0.21
421,한일홀딩스,"11,700",0,0.00%,"1,000","2,379","30,833","3,607",2.98,3.11,6.40
422,STX엔진,"15,630",350,+2.29%,"2,500","240,144","23,009","3,596",0.65,-16.06,-9.81
423,HL홀딩스,"35,350",550,-1.53%,"5,000","22,576","10,169","3,595",8.02,97.38,0.31
424,TIGER 글로벌자율주행&전기차SOLACTIVE,"11,260",50,+0.45%,0,"66,458","31,840","3,585",0.30,N/A,N/A
