,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
1538,KODEX 미국클린에너지나스닥,"9,285",80,+0.87%,0,"8,096","1,400",130,6.85,N/A,N/A
1539,TRUE 레버리지 베트남 VN30 선물 ETN(H),"12,930",320,+2.54%,0,"3,928","1,000",129,0.00,N/A,N/A
1540,KB 인버스 2X KOSDAQ 150 선물 ETN,"8,595",305,-3.43%,0,"262,081","1,500",129,0.00,N/A,N/A
1541,삼성 인버스 2X HSCEI ETN(H),"12,880",550,-4.10%,0,"3,055","1,000",129,0.00,N/A,N/A
1542,TIGER 글로벌자원생산기업(합성 H),"15,125",245,+1.65%,0,"2,083",850,129,0.00,N/A,N/A
1543,대신 S&P 인버스 WTI원유 선물 ETN,"12,850",300,-2.28%,0,6,"1,000",128,0.00,N/A,N/A
1544,KOSEF 미국달러선물레버리지,"11,370",220,-1.90%,0,"12,359","1,130",128,0.00,N/A,N/A
1545,HANARO 글로벌탄소배출권선물ICE(합성),"11,160",5,-0.04%,0,"5,622","1,150",128,0.00,N/A,N/A
1546,ARIRANG 미국다우존스고배당주(합성 H),"15,075",115,+0.77%,0,"1,226",850,128,0.00,N/A,N/A
1547,KOSEF 미국나스닥100(H),"12,810",165,+1.30%,0,"18,068","1,000",128,0.00,N/A,N/A
1548,신한 인버스 금 선물 ETN(H),"6,350",70,-1.09%,0,216,"2,000",127,0.00,N/A,N/A
1549,TIGER LG그룹+펀더멘털,"8,875",75,+0.85%,0,"7,058","1,420",126,0.58,N/A,N/A
1550,KOSEF 미국S&P500,"11,440",10,-0.09%,0,272,"1,100",126,0.00,N/A,N/A
1551,삼성 레버리지 항셍테크 ETN(H),"2,090",140,+7.18%,0,"459,585","6,000",125,0.00,N/A,N/A
1552,TRUE 인버스 플래티넘 선물 ETN,"12,505",555,-4.25%,0,49,"1,000",125,0.00,N/A,N/A
1553,QV US 500 월간레버리지 ETN(H),"24,730",0,0.00%,0,0,500,124,0.00,N/A,N/A
1554,JW중외제약2우B,"60,000","1,500",-2.44%,"2,500",206,206,124,0.12,38.54,N/A
1555,신한 USD K200 선물 바이셀 ETN,"6,100",0,0.00%,0,0,"2,000",122,0.00,N/A,N/A
1556,VITA MZ소비액티브,"8,125",35,+0.43%,0,"63,633","1,500",122,0.00,N/A,N/A
1557,메리츠 인버스 미국채10년 ETN(H),"12,160",115,-0.94%,0,63,"1,000",122,0.00,N/A,N/A
1558,HANARO KOFR금리액티브(합성),"101,230",15,+0.01%,0,"3,265",120,121,0.00,N/A,N/A
1559,KODEX MSCI KOREA ESG유니버설,"10,115",140,+1.40%,0,3,"1,200",121,0.00,N/A,N/A
1560,TIMEFOLIO Korea플러스배당액티브,"10,455",10,+0.10%,0,"8,941","1,160",121,0.00,N/A,N/A
1561,TRUE 인버스 은 선물 ETN,"12,100",0,0.00%,0,0,"1,000",121,0.00,N/A,N/A
1562,유유제약1우,"5,300",40,-0.75%,"1,000","8,443","2,267",120,0.50,-18.79,N/A
1563,KODEX 테슬라밸류체인FactSet,"10,915",30,+0.28%,0,"187,897","1,100",120,0.00,N/A,N/A
1564,신한 FnGuide 폐기물처리 ETN,"5,990",0,0.00%,0,0,"2,000",120,0.00,N/A,N/A
1565,KOSEF 고배당,"8,255",0,0.00%,0,"98,155","1,450",120,0.00,N/A,N/A
1566,KODEX 미국S&P바이오(합성),"23,490",85,+0.36%,0,882,506,119,0.00,N/A,N/A
1567,TRUE 금 선물 ETN,"11,870",10,+0.08%,0,211,"1,000",119,0.00,N/A,N/A
1568,KOSEF 차이나A50커넥트MSCI,"8,465",35,+0.42%,0,"55,208","1,400",119,0.00,N/A,N/A
1569,미래에셋 FnGuide 부산엑스포 추가수익 ETN,"11,835",0,0.00%,0,0,"1,000",118,0.00,N/A,N/A
1570,KODEX 미국S&P500경기소비재,"11,805",100,+0.85%,0,"329,979","1,000",118,0.00,N/A,N/A
1571,메리츠 인버스 미국채30년 ETN(H),"11,785",80,-0.67%,0,2,"1,000",118,0.00,N/A,N/A
1572,신한 달러인덱스 선물 ETN(H),"11,765",0,0.00%,0,0,"1,000",118,0.00,N/A,N/A
1573,하나 S&P 레버리지 WTI원유 선물 ETN,"11,750",205,+1.78%,0,129,"1,000",118,0.00,N/A,N/A
1574,KBSTAR 글로벌클린에너지S&P,"9,030",110,+1.23%,0,"4,297","1,300",117,0.00,N/A,N/A
1575,신한 블룸버그 레버리지 WTI원유 선물 ETN,"11,720",255,+2.22%,0,"7,379","1,000",117,0.00,N/A,N/A
1576,QV 블룸버그 2X WTI원유선물 ETN,"11,705",200,+1.74%,0,302,"1,000",117,0.00,N/A,N/A
1577,KBSTAR 중국MSCI China(H),"8,060",170,+2.15%,0,"7,420","1,450",117,0.00,N/A,N/A
1578,KODEX 구리선물(H),"6,855",90,+1.33%,0,"28,538","1,700",117,0.00,N/A,N/A
1579,ACE 글로벌브랜드TOP10블룸버그,"12,260",20,-0.16%,0,"8,770",950,116,0.00,N/A,N/A
1580,ARIRANG 고배당주채권혼합,"10,585",20,+0.19%,0,"4,686","1,100",116,0.00,N/A,N/A
1581,KOSEF 미국달러선물인버스2X,"6,275",110,+1.78%,0,"16,566","1,850",116,0.00,N/A,N/A
1582,티와이홀딩스우,"9,300",290,-3.02%,500,"5,345","1,243",116,0.34,7.57,N/A
1583,신한 인버스 구리 선물 ETN(H),"5,760",115,-1.96%,0,"1,446","2,000",115,0.00,N/A,N/A
1584,신한 인버스 2X 미국달러 선물 ETN,"5,760",120,+2.13%,0,"6,493","2,000",115,0.00,N/A,N/A
1585,파워 코스피100,"26,110",295,+1.14%,0,62,440,115,0.00,N/A,N/A
1586,메리츠 인버스 2X 국채10년 ETN,"11,420",185,-1.59%,0,2,"1,000",114,0.00,N/A,N/A
1587,신한 인버스 콩 선물 ETN(H),"5,700",115,+2.06%,0,"3,178","2,000",114,0.00,N/A,N/A
1588,신한 FnGuide 메타버스 ETN,"5,700",190,+3.45%,0,142,"2,000",114,0.00,N/A,N/A
1589,ARIRANG Apple채권혼합Fn,"10,855",30,-0.28%,0,"14,111","1,050",114,0.00,N/A,N/A
1590,메리츠 블룸버그 레버리지 WTI선물 ETN(H),"11,385",330,+2.99%,0,"10,533","1,000",114,0.00,N/A,N/A
1591,대덕1우,"9,390",130,+1.40%,500,"1,764","1,212",114,0.01,19.89,N/A
1592,KB S&P 레버리지 WTI원유 선물 ETN(H),"11,355",355,+3.23%,0,"6,047","1,000",114,0.00,N/A,N/A
1593,삼성 인버스 2X 은 선물 ETN(H),"1,135",95,-7.72%,0,"130,417","10,000",114,0.00,N/A,N/A
1594,KODEX 필수소비재,"6,300",50,+0.80%,0,"8,382","1,800",113,0.01,N/A,N/A
1595,삼성 인버스 항셍테크 ETN(H),"11,335",480,-4.06%,0,55,"1,000",113,0.00,N/A,N/A
1596,TIGER KRX300,"16,190",170,+1.06%,0,376,700,113,0.00,N/A,N/A
1597,KODEX 미국스마트모빌리티S&P,"6,615",50,+0.76%,0,"8,182","1,700",112,0.00,N/A,N/A
1598,ARIRANG 우량회사채50 1년,"112,115",150,+0.13%,0,"2,667",100,112,0.00,N/A,N/A
1599,에셋플러스 글로벌대장장이액티브,"11,920",50,+0.42%,0,375,940,112,0.00,N/A,N/A
1600,QV iSelect-WG 그린에너지 ESG ETN,"11,160",0,0.00%,0,0,"1,000",112,0.00,N/A,N/A
1601,KODEX Fn K-뉴딜디지털플러스,"9,215",170,+1.88%,0,"1,064","1,200",111,0.00,N/A,N/A
1602,ACE 미국IT인터넷S&P(합성 H),"13,820",245,+1.80%,0,"2,488",800,111,0.00,N/A,N/A
1603,넥센우,"3,065",25,-0.81%,500,326,"3,601",110,13.58,17.82,N/A
1604,TRUE 인버스 베트남 VN30 선물 ETN(H),"11,030",0,0.00%,0,0,"1,000",110,0.00,N/A,N/A
1605,삼성 인버스 코스피 200 선물 ETN,"11,000",175,-1.57%,0,244,"1,000",110,0.00,N/A,N/A
1606,미래에셋 인도네시아 Top5 ETN,"11,000",50,-0.45%,0,37,"1,000",110,0.00,N/A,N/A
1607,메리츠 대표 농산물 선물 ETN(H),"10,975",425,-3.73%,0,124,"1,000",110,0.00,N/A,N/A
1608,KODEX 미국S&P500필수소비재,"9,970",125,-1.24%,0,"3,378","1,100",110,0.00,N/A,N/A
1609,TRUE 인버스 금 선물 ETN,"10,965",235,-2.10%,0,8,"1,000",110,0.00,N/A,N/A
1610,메리츠 인버스 구리 선물 ETN(H),"10,960",0,0.00%,0,0,"1,000",110,0.00,N/A,N/A
1611,에셋플러스 코리아대장장이액티브,"12,160",210,+1.76%,0,778,900,109,0.00,N/A,N/A
1612,삼성 나스닥 100 ETN(H),"10,940",160,+1.48%,0,34,"1,000",109,0.00,N/A,N/A
1613,QV iSelect 배터리 재활용 Top10 ETN,"10,930",80,+0.74%,0,1,"1,000",109,0.00,N/A,N/A
1614,메리츠 인버스 국채10년 ETN,"10,925",100,-0.91%,0,22,"1,000",109,0.00,N/A,N/A
1615,JW중외제약우,"32,450","1,200",+3.84%,"2,500","1,372",335,109,0.02,20.84,N/A
1616,메리츠 레버리지 국채5년 ETN,"10,880",100,+0.93%,0,2,"1,000",109,0.00,N/A,N/A
1617,대신 인버스 3X 국채10년 ETN,"21,755",0,0.00%,0,0,500,109,0.00,N/A,N/A
1618,KODEX 미국S&P500금융,"10,850",60,-0.55%,0,"2,192","1,000",108,0.00,N/A,N/A
1619,KTOP 코스피50,"24,105",205,+0.86%,0,"1,126",450,108,0.00,N/A,N/A
1620,KB KRX ESG Eco ETN,"10,840",135,+1.26%,0,4,"1,000",108,0.00,N/A,N/A
1621,ARIRANG 미국S&P500,"10,825",0,0.00%,0,225,"1,000",108,0.00,N/A,N/A
1622,KB 레버리지 콩 선물 ETN,"21,625","1,320",-5.75%,0,15,500,108,0.00,N/A,N/A
1623,KBSTAR KRX300,"16,580",220,+1.34%,0,281,650,108,0.00,N/A,N/A
1624,KODEX KTOP30,"17,945",245,+1.38%,0,19,600,108,0.00,N/A,N/A
1625,KODEX TDF2030액티브,"10,760",25,+0.23%,0,"1,436","1,000",108,0.00,N/A,N/A
1626,삼성 인버스 구리 선물 ETN(H),"10,745",165,-1.51%,0,81,"1,000",107,0.00,N/A,N/A
1627,SOL 한국형글로벌반도체액티브,"12,435",160,+1.30%,0,"9,707",860,107,0.01,N/A,N/A
1628,삼성 KRX 2차전지 K-뉴딜 ETN,"10,685",135,+1.28%,0,105,"1,000",107,0.00,N/A,N/A
1629,삼성 금 선물 ETN(H),"10,655",100,+0.95%,0,"1,580","1,000",107,0.00,N/A,N/A
1630,ARIRANG ESG성장주액티브,"8,185",65,+0.80%,0,"1,385","1,300",106,0.00,N/A,N/A
1631,메리츠 금 선물 ETN(H),"10,640",100,+0.95%,0,20,"1,000",106,0.00,N/A,N/A
1632,KOSEF 물가채KIS,"106,010","1,010",+0.96%,0,279,100,106,0.00,N/A,N/A
1633,메리츠 국채5년 ETN,"10,535",0,0.00%,0,0,"1,000",105,0.00,N/A,N/A
1634,KBSTAR 국채30년레버리지KAP(합성),"18,315",345,+1.92%,0,"10,190",575,105,0.17,N/A,N/A
1635,KB S&P 유럽탄소배출권 선물 ETN(H),"10,525",0,0.00%,0,0,"1,000",105,0.00,N/A,N/A
1636,신한 S&P 레버리지 유로 선물 ETN(H),"10,525",0,0.00%,0,0,"1,000",105,0.00,N/A,N/A
1637,하나 iSelect-WG 탄소중립 ESG ETN,"10,515",0,0.00%,0,0,"1,000",105,0.00,N/A,N/A
1638,TRUE FnGuide IoT ETN,"10,510",60,+0.57%,0,4,"1,000",105,0.00,N/A,N/A
1639,QV S&P500 버퍼10% 3월 ETN(H),"10,495",0,0.00%,0,0,"1,000",105,0.00,N/A,N/A
1640,TIGER 은행,"6,100",50,+0.83%,0,"13,018","1,720",105,0.00,N/A,N/A
1641,신한 레버리지 Russell 2000 ETN,"10,485",120,+1.16%,0,"1,938","1,000",105,0.00,N/A,N/A
1642,KB 레버리지 금 선물 ETN(H),"20,965",335,+1.62%,0,"1,407",500,105,0.00,N/A,N/A
1643,메리츠 레버리지 국채3년 ETN,"10,480",45,+0.43%,0,2,"1,000",105,0.00,N/A,N/A
1644,QV S&P500 버퍼10% 6월 ETN(H),"10,445",0,0.00%,0,0,"1,000",104,0.00,N/A,N/A
1645,KOSEF 국고채10년레버리지,"104,390","1,605",+1.56%,0,"1,460",100,104,0.00,N/A,N/A
1646,KB 인버스 2X 항셍테크 선물 ETN,"10,415",915,-8.08%,0,"2,901","1,000",104,0.00,N/A,N/A
1647,대신 2X 철광석 선물 ETN(H),"10,360",255,+2.52%,0,"4,417","1,000",104,0.00,N/A,N/A
1648,메리츠 국채3년 ETN,"10,355",0,0.00%,0,0,"1,000",104,0.00,N/A,N/A
1649,TIGER 한중전기차(합성),"10,895",5,+0.05%,0,300,950,104,0.00,N/A,N/A
1650,대신 인버스 국채10년 ETN,"10,340",0,0.00%,0,0,"1,000",103,0.00,N/A,N/A
1651,QV S&P500 버퍼10% 12월 ETN(H),"10,325",0,0.00%,0,0,"1,000",103,0.00,N/A,N/A
1652,메리츠 인버스 3X 국채10년 ETN,"20,645",605,-2.85%,0,52,500,103,0.00,N/A,N/A
1653,HANARO 탄소효율그린뉴딜,"8,580",50,+0.59%,0,127,"1,200",103,0.00,N/A,N/A
1654,신한 S&P 유로 선물 ETN(H),"10,290",0,0.00%,0,0,"1,000",103,0.00,N/A,N/A
1655,SOL 24-06 국고채액티브,"102,310",175,+0.17%,0,2,100,102,0.00,N/A,N/A
1656,KB 인버스 2X 나스닥 100 ETN,"5,085",200,-3.78%,0,"141,899","2,000",102,0.00,N/A,N/A
1657,미래에셋 인버스 에너지화학 Core5 ETN,"5,085",105,-2.02%,0,4,"2,000",102,0.00,N/A,N/A
1658,마이다스 KoreaStock액티브,"19,350",150,+0.78%,0,35,525,102,0.00,N/A,N/A
1659,메리츠 인버스 3X 국채5년 ETN,"20,300",255,-1.24%,0,2,500,102,0.00,N/A,N/A
1660,KOSEF 블루칩,"7,780",50,+0.65%,0,50,"1,300",101,0.00,N/A,N/A
1661,메리츠 3X 레버리지 국채3년 ETN,"20,210",165,+0.82%,0,8,500,101,0.00,N/A,N/A
1662,삼성 S&P500 ETN,"10,100",0,0.00%,0,"154,386","1,000",101,0.00,N/A,N/A
1663,KODEX 미국S&P500헬스케어,"10,100",50,-0.49%,0,"5,977","1,000",101,0.00,N/A,N/A
1664,메리츠 인버스 3X 국채3년 ETN,"20,190",140,-0.69%,0,2,500,101,0.00,N/A,N/A
1665,TIGER 미국배당+3%프리미엄다우존스,"10,080",40,-0.40%,0,"47,103","1,000",101,2.27,N/A,N/A
1666,KODEX 53-09 국고채액티브,"10,075",205,+2.08%,0,"2,846","1,000",101,0.00,N/A,N/A
1667,TIGER 200 금융,"5,855",25,+0.43%,0,"16,347","1,720",101,0.00,N/A,N/A
1668,KBSTAR 미국고정배당우선증권ICE TR,"9,575",5,+0.05%,0,"1,255","1,050",101,0.00,N/A,N/A
1669,ACE 골드선물 레버리지(합성 H),"16,695",285,+1.74%,0,"3,211",600,100,0.00,N/A,N/A
1670,메리츠 3X 레버리지 국채5년 ETN,"20,010",310,+1.57%,0,6,500,100,0.00,N/A,N/A
1671,TIGER 코스닥글로벌,"10,000",55,+0.55%,0,"63,751","1,000",100,0.00,N/A,N/A
1672,메리츠 인버스 3X 국채30년 ETN,"49,990","1,320",-2.57%,0,"3,504",200,100,0.00,N/A,N/A
1673,KODEX 33-06 국고채액티브,"9,955",100,+1.01%,0,"3,109","1,000",100,0.00,N/A,N/A
1674,메리츠 인버스 은 선물 ETN(H),"9,950",0,0.00%,0,0,"1,000",100,0.00,N/A,N/A
1675,KODEX MSCI Korea,"16,520",210,+1.29%,0,19,600,99,0.00,N/A,N/A
1676,KB 인버스 2X 구리 선물 ETN(H),"19,785",815,-3.96%,0,10,500,99,0.00,N/A,N/A
1677,메리츠 인버스 2X 국채3년 ETN,"9,880",0,0.00%,0,0,"1,000",99,0.00,N/A,N/A
1678,KB 인버스 2X 밀 선물 ETN,"19,745",0,0.00%,0,0,500,99,0.00,N/A,N/A
1679,대신 국채10년 ETN,"9,860",85,+0.87%,0,8,"1,000",99,0.00,N/A,N/A
1680,메리츠 인버스 국채5년 ETN,"9,845",35,-0.35%,0,2,"1,000",98,0.00,N/A,N/A
1681,TIGER 글로벌사이버보안INDXX,"9,460",210,-2.17%,0,"6,461","1,040",98,0.00,N/A,N/A
1682,신한 S&P 인버스 유로 선물 ETN(H),"9,830",0,0.00%,0,0,"1,000",98,0.00,N/A,N/A
1683,삼성 인버스 China A50 선물 ETN(H),"9,825",160,-1.60%,0,186,"1,000",98,0.00,N/A,N/A
1684,TIMEFOLIO 탄소중립액티브,"13,980",185,+1.34%,0,"7,244",700,98,0.00,N/A,N/A
1685,SOL KRX300,"16,300",180,+1.12%,0,6,600,98,0.00,N/A,N/A
1686,하나 코스닥150 선물 ETN,"9,775",60,+0.62%,0,24,"1,000",98,0.00,N/A,N/A
1687,TRUE 구리 선물 ETN,"9,760",55,+0.57%,0,2,"1,000",98,0.00,N/A,N/A
1688,삼성 S&P500 VIX S/T 선물 ETN,"9,750",690,-6.61%,0,"55,603","1,000",98,0.00,N/A,N/A
1689,KBSTAR 미국달러SOFR금리액티브(합성),"9,720",105,-1.07%,0,188,"1,000",97,0.00,N/A,N/A
1690,KOSEF KRX100,"5,380",55,+1.03%,0,97,"1,800",97,0.00,N/A,N/A
1691,ACE 레버리지,"6,915",115,+1.69%,0,"29,886","1,400",97,0.41,N/A,N/A
1692,KODEX Fn웹툰&드라마,"4,400",130,+3.04%,0,"61,269","2,200",97,0.00,N/A,N/A
1693,TRUE 은 선물 ETN,"9,675",0,0.00%,0,0,"1,000",97,0.00,N/A,N/A
1694,TIGER 한중반도체(합성),"11,360",0,0.00%,0,0,850,97,0.00,N/A,N/A
1695,ACE 원자력테마딥서치,"12,065",280,+2.38%,0,"112,594",800,97,0.06,N/A,N/A
1696,삼성 인버스 금 선물 ETN(H),"9,640",85,-0.87%,0,50,"1,000",96,0.00,N/A,N/A
1697,ARIRANG KRX300,"16,060",80,+0.50%,0,428,600,96,0.00,N/A,N/A
1698,신한 인버스 Russell 2000 ETN,"9,605",250,-2.54%,0,812,"1,000",96,0.00,N/A,N/A
1699,TIGER 유로스탁스레버리지(합성 H),"9,595",300,+3.23%,0,"3,153","1,000",96,0.00,N/A,N/A
1700,ARIRANG 200선물인버스2X,"5,040",85,-1.66%,0,"17,492","1,900",96,0.00,N/A,N/A
1701,TIMEFOLIO 미국나스닥100액티브,"12,915",60,+0.47%,0,"7,640",740,96,0.00,N/A,N/A
1702,메리츠 3X 레버리지 국채10년 ETN,"19,090",410,+2.19%,0,"1,196",500,95,0.00,N/A,N/A
1703,KBSTAR 미국빅데이터Top3채권혼합iSelect,"11,900",80,-0.67%,0,"3,843",800,95,0.00,N/A,N/A
1704,TRUE 코스닥 150 ETN,"9,515",55,+0.58%,0,4,"1,000",95,0.00,N/A,N/A
1705,ARIRANG 200선물레버리지,"31,710",530,+1.70%,0,314,300,95,0.00,N/A,N/A
1706,삼성 인버스 은 선물 ETN(H),"9,475",420,-4.24%,0,222,"1,000",95,0.00,N/A,N/A
1707,KOSEF 미국달러선물인버스,"9,275",85,+0.92%,0,"3,468","1,020",95,0.00,N/A,N/A
1708,메리츠 인버스 2X 국채5년 ETN,"9,450",65,-0.68%,0,2,"1,000",94,0.00,N/A,N/A
1709,태양금속우,"2,860",70,-2.39%,500,"12,043","3,300",94,0.03,55.00,N/A
1710,TRUE S&P500 VIX S/T 선물 ETN(H),"9,400",570,-5.72%,0,"11,038","1,000",94,0.00,N/A,N/A
1711,신한 S&P 인버스 2X 유로 선물 ETN(H),"9,395",200,-2.08%,0,"28,000","1,000",94,0.00,N/A,N/A
1712,삼양사우,"25,350",100,-0.39%,"5,000",413,370,94,0.62,4.05,N/A
1713,대신 3X 레버리지 국채10년 ETN,"18,745",405,+2.21%,0,72,500,94,0.00,N/A,N/A
1714,메리츠 은 선물 ETN(H),"9,340",0,0.00%,0,0,"1,000",93,0.00,N/A,N/A
1715,삼성 은 선물 ETN(H),"9,290",0,0.00%,0,0,"1,000",93,0.00,N/A,N/A
1716,FOCUS 혁신기업액티브,"8,435",130,+1.57%,0,4,"1,100",93,0.00,N/A,N/A
1717,성신양회우,"12,610",170,-1.33%,"5,000","9,250",736,93,2.58,-12.36,N/A
1718,TRUE 인버스 유로스탁스50 ETN(H) C,"9,240",130,-1.39%,0,10,"1,000",92,0.00,N/A,N/A
1719,KOSEF 미국S&P500(H),"11,545",95,+0.83%,0,"8,015",800,92,0.00,N/A,N/A
1720,SOL 유럽탄소배출권선물S&P(H),"13,190",125,-0.94%,0,"63,022",700,92,0.00,N/A,N/A
1721,KB 레버리지 KRX 2차전지 K-뉴딜 ETN,"9,215",325,+3.66%,0,459,"1,000",92,0.00,N/A,N/A
1722,SK증권우,"2,355",30,-1.26%,500,"18,189","3,913",92,0.25,157.00,N/A
1723,TIGER 미국나스닥넥스트100,"10,835",45,-0.41%,0,141,850,92,5.05,N/A,N/A
1724,TREX 펀더멘탈 200,"36,600",225,+0.62%,0,12,250,92,0.08,N/A,N/A
1725,미래에셋 인도네시아 금속&에너지 Top5 ETN,"9,055",30,-0.33%,0,32,"1,000",91,0.00,N/A,N/A
1726,삼성 레버리지 KRX 2차전지 K-뉴딜 ETN,"9,050",230,+2.61%,0,"3,723","1,000",90,0.00,N/A,N/A
1727,ACE 미국하이일드액티브(H),"9,975",80,+0.81%,0,"2,366",900,90,0.00,N/A,N/A
1728,KBSTAR 글로벌수소경제Indxx,"8,515",10,+0.12%,0,"4,444","1,050",89,0.00,N/A,N/A
1729,신한 인버스 달러인덱스 선물 ETN(H),"8,940",80,+0.90%,0,162,"1,000",89,0.00,N/A,N/A
1730,메리츠 구리 선물 ETN(H),"8,880",0,0.00%,0,0,"1,000",89,0.00,N/A,N/A
1731,삼성 인버스 코스닥 150 선물 ETN,"8,845",135,-1.50%,0,285,"1,000",88,0.00,N/A,N/A
1732,TIGER 우량가치,"10,525",40,+0.38%,0,36,840,88,0.00,N/A,N/A
1733,삼성 구리 선물 ETN(H),"8,835",0,0.00%,0,0,"1,000",88,0.00,N/A,N/A
1734,메리츠 천연가스 선물 ETN(H),"2,940",90,-2.97%,0,"22,461","3,000",88,0.00,N/A,N/A
1735,신한 인버스 은 선물 ETN(H),"4,405",200,-4.34%,0,939,"2,000",88,0.00,N/A,N/A
1736,ARIRANG 국채선물10년,"51,190",320,+0.63%,0,2,172,88,0.00,N/A,N/A
1737,하나 인버스 코스닥150 선물 ETN,"8,790",170,-1.90%,0,439,"1,000",88,0.00,N/A,N/A
1738,TRUE 플래티넘 선물 ETN,"8,770",175,+2.04%,0,72,"1,000",88,0.00,N/A,N/A
1739,ACE 미국달러단기채권액티브,"9,715",105,-1.07%,0,"2,359",900,87,0.00,N/A,N/A
1740,TIMEFOLIO 미국S&P500액티브,"12,135",70,+0.58%,0,147,720,87,0.00,N/A,N/A
1741,TREX 200,"34,945",290,+0.84%,0,37,250,87,0.00,N/A,N/A
1742,TRUE 블룸버그 WTI원유 선물 ETN,"8,725",20,+0.23%,0,6,"1,000",87,0.00,N/A,N/A
1743,삼성 블룸버그 WTI원유 선물 ETN,"8,725",15,-0.17%,0,315,"1,000",87,0.00,N/A,N/A
1744,메리츠 레버리지 국채10년 ETN,"8,670",165,+1.94%,0,732,"1,000",87,0.00,N/A,N/A
1745,KODEX 모멘텀Plus,"12,355",125,+1.02%,0,78,700,86,0.00,N/A,N/A
1746,HANARO 글로벌워터MSCI(합성),"10,785",5,+0.05%,0,22,800,86,0.00,N/A,N/A
1747,하나 인버스 2X 코스닥150 선물 ETN,"8,615",290,-3.26%,0,"370,452","1,000",86,0.00,N/A,N/A
1748,TRUE 블룸버그 인도네시아 대표원자재 ETN,"8,610",15,-0.17%,0,15,"1,000",86,0.00,N/A,N/A
1749,대신 인버스 2X 코스닥 150 선물 ETN,"8,595",315,-3.54%,0,"6,612","1,000",86,0.00,N/A,N/A
1750,TRUE 베트남 VN30 선물 ETN(H),"8,595",110,+1.30%,0,9,"1,000",86,0.00,N/A,N/A
1751,ACE 싱가포르리츠,"12,275",195,+1.61%,0,"3,063",700,86,0.02,N/A,N/A
1752,KOSEF 200선물인버스2X,"2,490",50,-1.97%,0,"28,689","3,450",86,0.00,N/A,N/A
1753,KBSTAR 미국장기국채선물레버리지(합성 H),"7,155",85,+1.20%,0,"6,891","1,200",86,0.00,N/A,N/A
1754,KB 인버스 2X 콩 선물 ETN,"17,145",770,+4.70%,0,27,500,86,0.00,N/A,N/A
1755,KB 인버스 2X 금 선물 ETN(H),"17,140",370,-2.11%,0,445,500,86,0.00,N/A,N/A
1756,HANARO KAP초장기국고채,"37,175",460,+1.25%,0,287,230,86,0.00,N/A,N/A
1757,SOL 유럽탄소배출권선물인버스ICE(H),"10,600",85,+0.81%,0,"73,034",800,85,0.00,N/A,N/A
1758,메리츠 미국채30년 ETN(H),"8,460",40,+0.48%,0,735,"1,000",85,0.00,N/A,N/A
1759,삼성 KRX 리츠 TOP10 월배당 ETN,"8,460",130,+1.56%,0,224,"1,000",85,0.00,N/A,N/A
1760,TRUE 인버스 2X S&P500 선물 ETN(H),"1,690",35,-2.03%,0,"59,001","5,000",84,0.00,N/A,N/A
1761,VITA 밸류알파액티브,"11,260",80,+0.72%,0,"71,504",750,84,0.00,N/A,N/A
1762,하나 인버스 2X 콩 선물 ETN(H),"8,440",430,+5.37%,0,"8,829","1,000",84,0.00,N/A,N/A
1763,TIGER S&P글로벌인프라(합성),"12,015",60,+0.50%,0,104,700,84,0.00,N/A,N/A
1764,KODEX 미국ETF산업Top10 Indxx,"11,210",50,+0.45%,0,"1,896",750,84,0.00,N/A,N/A
1765,KB 레버리지 밀 선물 ETN,"16,815","2,085",-11.03%,0,"2,182",500,84,0.00,N/A,N/A
1766,KBSTAR KRX300레버리지,"14,000",235,+1.71%,0,885,600,84,0.00,N/A,N/A
1767,삼성 코스피 양매도 5% OTM ETN,"8,390",0,0.00%,0,0,"1,000",84,0.00,N/A,N/A
1768,SOL KEDI메가테크액티브,"12,905",120,+0.94%,0,"4,988",650,84,0.00,N/A,N/A
1769,TIGER 이머징마켓MSCI레버리지(합성 H),"7,605",315,+4.32%,0,"4,088","1,100",84,0.00,N/A,N/A
1770,마이다스 KoreaStock중소형액티브,"22,250",150,+0.68%,0,32,375,83,0.00,N/A,N/A
1771,ACE 베트남VN30선물블룸버그레버리지(H),"10,375",175,+1.72%,0,"4,478",800,83,0.00,N/A,N/A
1772,삼성 인버스 나스닥 100 ETN(H),"8,300",115,-1.37%,0,"1,104","1,000",83,0.00,N/A,N/A
1773,KBSTAR KQ고배당,"12,770",115,+0.91%,0,131,650,83,0.00,N/A,N/A
1774,TIGER 미국S&P500선물인버스(H),"3,605",30,-0.83%,0,"73,293","2,300",83,0.00,N/A,N/A
1775,KOSEF 코스피100,"25,865",230,+0.90%,0,379,320,83,0.00,N/A,N/A
1776,삼성 인버스 2X 금 선물 ETN(H),"8,225",160,-1.91%,0,"8,783","1,000",82,0.00,N/A,N/A
1777,신한 인버스 2X 은 선물 ETN(H),"1,645",145,-8.10%,0,"293,414","5,000",82,0.00,N/A,N/A
1778,크라운제과우,"10,630",20,-0.19%,200,"1,708",774,82,0.22,19.15,N/A
1779,KOSEF Fn중소형,"21,620",60,+0.28%,0,346,380,82,0.00,N/A,N/A
1780,ARIRANG 태양광&ESS Fn,"10,240",295,+2.97%,0,"64,340",800,82,0.00,N/A,N/A
